C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET12:33:24

Vmag < 5 & dec > -40
--------------------

Number of objects : 1443

 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
645 	* d Sco                  	PM*	244.57458402 -28.61402133  	     ~	 4.822	 4.792	     ~	     ~	A1Va                  
646 	HD 77912                 	Pe*	136.63236759 +38.45221525  	     ~	 5.588	 4.565	     ~	     ~	G7II_Ba0.2            
647 	* bet For                	RG*	042.27257855 -32.40589774  	 6.14 	 5.45 	 4.46 	 3.70 	 3.16 	G8III                 
648 	* f Sgr                  	*  	296.59057965 -19.76111479  	     ~	 5.945	 4.887	     ~	     ~	K0III                 
649 	* eps Vir                	PM*	195.54415770 +10.95915040  	 4.45 	 3.71 	 2.79 	 2.16 	 1.71 	G8III                 
650 	HR 285                   	*  	017.18700022 +86.25709000  	     ~	 5.487	 4.244	     ~	     ~	K2III                 
651 	* eps Cep                	dS*	333.75914709 +57.04357698  	     ~	 4.47 	 4.19 	 4.0  	 3.9  	F0V(Sr)               
652 	* 65 And                 	*  	036.40593130 +50.27862903  	     ~	 6.306	 4.734	     ~	     ~	K4III                 
653 	* 126 Tau                	** 	085.32382365 +16.53414592  	 4.1  	 4.711	 4.832	     ~	     ~	B3IV                  
654 	* pi. Dra                	*  	290.16705555 +65.71453042  	 4.67 	 4.61 	 4.59 	 4.55 	 4.58 	A0III                 
655 	* 46 LMi                 	V* 	163.32793697 +34.21487153  	 5.79 	 4.87 	 3.83 	 3.00 	 2.46 	K0III                 
656 	* 33 Psc                 	RS*	001.33392469 -05.70761886  	 6.52 	 5.65 	 4.61 	 3.83 	 3.29 	K0III                 
657 	* 5 UMi                  	V* 	216.88143063 +75.69599213  	     ~	 5.710	 4.253	     ~	     ~	K4III                 
658 	* tet Cyg                	PM*	294.11055981 +50.22110127  	 4.83 	 4.86 	 4.48 	 4.13 	 3.92 	F3+V                  
659 	[BAB2009] D              	PoG	116.722167 +39.005069      	     ~	 0.632	 0.755	 0.916	     ~	~                     
660 	V* T Cyg                 	LP?	311.79480052 +34.37412294  	     ~	 6.224	 4.930	 5.33 	     ~	K3III                 
661 	* mu. Aqr                	SB*	313.16346986 -08.98331942  	     ~	 5.029	 4.723	     ~	     ~	A3II                  
662 	* lam Gem A              	*  	109.523246 +16.540386      	     ~	 3.674	 3.559	     ~	     ~	~                     
663 	* b Oph                  	V* 	261.59257287 -24.17531082  	     ~	 4.437	 4.166	     ~	     ~	kA5hA9mF1III          
664 	NGC 2244                 	OpC	097.9792 +04.9417          	     ~	 5.26 	 4.8  	     ~	     ~	~                     
665 	V* R Cas                 	Mi*	359.60363898 +51.38880585  	 6.71 	 6.63 	 4.80 	     ~	     ~	M6.5-9e               
666 	* omi Dra                	RS*	282.80039709 +59.38835074  	     ~	 5.813	 4.642	 4.6  	     ~	G9III_Fe-0.5          
667 	* c Sgr                  	LP*	300.66450403 -27.70984562  	 8.03 	 6.23 	 4.58 	 2.71 	 1.15 	M4III                 
668 	* zet Boo B              	*  	220.287117 +13.728417      	     ~	 4.59 	 4.51 	     ~	     ~	~                     
669 	* gam Gem                	SB*	099.42796043 +16.39928043  	 1.98 	 1.92 	 1.92 	 1.86 	 1.87 	A1.5IV+               
670 	* f Tau                  	SB*	052.71824131 +12.93667680  	 6.25 	 5.23 	 4.10 	 3.33 	 2.79 	K0-III                
671 	* 2 Cyg                  	*  	291.03157891 +29.62133880  	 4.16 	 4.859	 4.976	     ~	     ~	B3IV                  
672 	* ome Her                	a2*	246.35397604 +14.03326975  	 4.53 	 4.57 	 4.58 	 4.51 	 4.55 	A2VpCrSr              
673 	* A Boo                  	SB*	214.49924812 +35.50950579  	     ~	 5.862	 4.812	     ~	     ~	K0III                 
674 	* lam Oph A              	PM*	247.728450 +01.983894      	     ~	 4.18 	 4.15 	     ~	     ~	A0V                   
675 	* omi Psc                	PM*	026.34846602 +09.15773693  	 5.90 	 5.22 	 4.26 	 3.53 	 3.04 	G8III                 
676 	* mu. Dra                	SB*	256.33385014 +54.47002762  	     ~	 5.40 	 4.92 	     ~	     ~	F6V+F6V               
677 	* iot Leo A              	*  	170.981079 +10.529544      	     ~	 4.48 	 4.06 	     ~	     ~	F1IV                  
678 	* zet Ari                	*  	048.72540545 +21.04444730  	     ~	 4.874	 4.880	     ~	     ~	A1V                   
679 	* gam CrB                	dS*	235.68568964 +26.29563463  	     ~	 3.84 	 3.84 	     ~	     ~	A0V                   
680 	* 23 Tau                 	bC*	056.58155768 +23.94835590  	 3.70 	 4.12 	 4.18 	     ~	 4.16 	B6IVe                 
681 	* eps Ser                	*  	237.70402593 +04.47773087  	     ~	 3.859	 3.713	     ~	     ~	kA2hA5mA7V            
682 	* eps Ant                	*  	142.31133199 -35.95133540  	 7.63 	 5.95 	 4.51 	 3.50 	 2.74 	K3III                 
683 	* ksi02 Sgr              	*  	284.43249618 -21.10665591  	 5.82 	 4.69 	 3.51 	 2.71 	 2.12 	G8/K0II/III           
684 	* 29 Vul                 	*  	309.63057866 +21.20117963  	 4.73 	 4.80 	 4.82 	 4.79 	 4.83 	A0V                   
685 	* 27 Mon                 	*  	119.93397115 -03.67958515  	     ~	 6.149	 4.942	     ~	     ~	K1III                 
686 	HR 3131                  	*  	119.96687989 -18.39923032  	 4.77 	 4.69 	 4.61 	 4.46 	 4.40 	A1V                   
687 	* lam Pyx                	*  	140.80104579 -28.83387277  	 6.22 	 5.59 	 4.68 	 3.97 	 3.50 	G8III                 
688 	* alf Cep                	V* 	319.64488470 +62.58557446  	 2.770	 2.680	 2.460	 2.22 	 2.11 	A8Vn                  
689 	* m Hya                  	** 	221.50033327 -25.44317653  	     ~	 5.29 	 4.94 	     ~	     ~	F0VSr+G1V             
690 	* gam Oph                	PM*	266.97316555 +02.70727778  	 3.83 	 3.80 	 3.75 	 3.71 	 3.71 	A1VnkA0mA0            
691 	* ksi01 Cet              	EB*	033.24997971 +08.84671067  	 5.86 	 5.23 	 4.35 	 3.68 	 3.18 	G6II/III_Ba0.3+DA     
692 	* phi Leo                	*  	169.16541498 -03.65160473  	     ~	 4.665	 4.467	     ~	     ~	A5V                   
693 	* 31 Vul                 	SB*	313.03198339 +27.09697702  	     ~	 5.389	 4.576	     ~	     ~	G7III                 
694 	* bet CMi                	Be*	111.78767391 +08.28931576  	 2.52 	 2.80 	 2.89 	 2.90 	 2.96 	B8Ve                  
695 	* rho Sco                	SB*	239.22115099 -29.21407255  	 2.84 	 3.66 	 3.86 	 3.97 	 4.17 	B2IV-V                
696 	* tet CrB                	Be*	233.23242560 +31.35913227  	 3.45 	 4.00 	 4.13 	 4.18 	 4.29 	B6Vnne                
697 	* alf Lac                	*  	337.82292212 +50.28249116  	 3.78 	 3.78 	 3.77 	 3.77 	 3.80 	A1V                   
698 	* rho Tau                	dS*	068.46215639 +14.84442312  	 4.98 	 4.90 	 4.65 	 4.41 	 4.29 	A8V                   
699 	* ksi02 CMa              	*  	098.76411952 -22.96478820  	     ~	 4.49 	 4.50 	     ~	     ~	A0III                 
700 	* nu. Tau                	*  	060.78908193 +05.98929977  	     ~	 3.943	 3.898	     ~	     ~	A0.5Va                
701 	* del Crv                	PM*	187.46606319 -16.51543126  	 2.80 	 2.89 	 2.94 	 2.99 	 3.03 	A0IV(n)kB9            
702 	* o Per                  	*  	055.59435647 +33.96502482  	 4.13 	 4.927	 4.975	     ~	     ~	B0.5V                 
703 	* rho Pup                	dS*	121.88603676 -24.30432443  	 3.43 	 3.24 	 2.81 	 2.46 	 2.25 	F5IIkF2IImF5II        
704 	* zet02 Aqr              	** 	337.207529 -00.020056      	 4.03 	 4.79 	 4.34 	 3.27 	 3.04 	F2IV/V                
705 	* ups Ori                	V* 	082.98275078 -07.30153810  	 3.30 	 4.36 	 4.63 	 4.75 	 5.01 	O9.7V                 
706 	* zet UMa                	** 	200.98141867 +54.92535197  	     ~	 2.29 	 2.27 	     ~	     ~	A1.5Vas               
707 	* 58 Oph                 	*  	265.85747375 -21.68319388  	     ~	 5.294	 4.873	     ~	     ~	F5V                   
708 	CCDM J17591-3015AB       	** 	269.77200731 -30.25302192  	     ~	 6.60 	 4.98 	     ~	     ~	M2                    
709 	* eta Boo                	SB*	208.67116217 +18.39772072  	 3.440	 3.250	 2.680	 2.24 	 1.95 	G0IV                  
710 	* 20 Boo                 	V* 	214.93847831 +16.30694823  	     ~	 6.100	 4.850	 4.1  	 3.5  	K3III                 
711 	* tau Lib                	SB*	234.66403957 -29.77774878  	     ~	 3.490	 3.644	     ~	     ~	B2.5V                 
712 	* eps Cet                	SB*	039.89095219 -11.87214254  	     ~	 5.33 	 4.87 	     ~	     ~	F5V                   
713 	* ksi Cas                	SB*	010.51623091 +50.51252542  	 4.05 	 4.71 	 4.81 	 4.82 	 4.94 	B2V                   
714 	* tet Psc                	*  	351.99206370 +06.37899222  	 6.41 	 5.38 	 4.30 	 3.50 	 2.97 	K1III                 
715 	* kap01 Tau              	dS*	066.34235439 +22.29387154  	     ~	 4.353	 4.210	     ~	     ~	A7IV-V                
716 	* 78 UMa                 	** 	195.18208123 +56.36633616  	     ~	 5.29 	 4.93 	     ~	     ~	F2V                   
717 	NGC 1980                 	OpC	083.8500 -05.9150          	     ~	     ~	 2.5  	     ~	     ~	~                     
718 	* 47 Tau                 	** 	063.48493673 +09.26382581  	     ~	 5.71 	 4.89 	     ~	     ~	G5III                 
719 	* tau02 Eri              	*  	042.75967442 -21.00401818  	 6.28 	 5.67 	 4.77 	 4.07 	 3.60 	K0III                 
720 	* del Scl                	** 	357.23144407 -28.13027069  	 4.55 	 4.58 	 4.57 	 4.53 	 4.55 	A0Vnp                 
721 	* 11 Sgr                 	*  	272.93055394 -23.70123659  	     ~	 6.03 	 4.98 	     ~	     ~	K0III                 
722 	* nu. Psc                	*  	025.35789129 +05.48761284  	 7.36 	 5.81 	 4.44 	 3.38 	 2.67 	K2/3III               
723 	* lam Lep                	*  	079.89385020 -13.17678910  	 3.03 	 4.04 	 4.29 	 4.41 	 4.69 	B0.5V                 
724 	* alf Lyr                	dS*	279.23473479 +38.78368896  	 0.03 	 0.03 	 0.03 	 0.07 	 0.10 	A0Va                  
725 	* iot Tau                	** 	075.77394687 +21.58996187  	     ~	 4.781	 4.626	     ~	     ~	A7V                   
726 	LGGS J013348.28+305208.8 	s?y	023.45117 +30.86911        	     ~	 0.76 	 0.64 	     ~	     ~	~                     
727 	* ksi Psc                	SB*	028.38896143 +03.18754161  	     ~	 5.547	 4.621	     ~	     ~	K0III                 
728 	* pi.01 Cyg              	SB*	325.52360242 +51.18962264  	 3.86 	 4.55 	 4.66 	     ~	     ~	B3III                 
729 	* tet Her                	V* 	269.06325226 +37.25053732  	 6.70 	 5.23 	 3.88 	 2.98 	 2.38 	K1IIaCN+...           
730 	* zet02 CrB              	SB*	234.84447155 +36.63581655  	     ~	 4.871	 4.979	     ~	     ~	B7V                   
731 	* sig Vir                	V* 	199.40118028 +05.46986726  	 8.42 	 6.47 	 4.80 	     ~	     ~	M2III                 
732 	* 27 CMa                 	Be*	108.56338299 -26.35250867  	 3.76 	 4.45 	 4.65 	 4.64 	 4.73 	B3IIIe                
733 	* alf Gem A              	SB*	113.649429 +31.888275      	     ~	 1.62 	 1.93 	     ~	     ~	A1.5IV+               
734 	* lam Cas                	** 	007.94316395 +54.52228492  	     ~	 4.645	 4.732	     ~	     ~	B8Vn                  
735 	* ksi Tau                	EB*	051.79229464 +09.73267621  	 3.33 	 3.66 	 3.75 	 3.76 	 3.85 	B9Vn                  
736 	* psi10 Aur              	V* 	104.40461287 +45.09409456  	     ~	 4.935	 4.900	     ~	     ~	A2Vn                  
737 	* b Sgr                  	*  	299.23679853 -27.16990026  	     ~	 6.026	 4.544	     ~	     ~	K3III                 
738 	* l Pup                  	sg*	115.95195301 -28.95482556  	 4.06 	 4.09 	 3.93 	 3.68 	 3.50 	A4Iabe                
739 	* nu.02 Boo              	** 	232.94575756 +40.89933680  	     ~	 5.093	 4.997	     ~	     ~	A5V                   
740 	* 17 Tau                 	Be*	056.21890368 +24.11333645  	 3.19 	 3.59 	 3.70 	 3.71 	 3.80 	B6IIIe                
741 	* psi Oph                	*  	246.02576935 -20.03732734  	 6.37 	 5.53 	 4.50 	 3.72 	 3.22 	K0III                 
742 	* zet CMa                	Ce*	095.07830017 -30.06336673  	 2.12 	 2.83 	 3.00 	     ~	     ~	B2.5V                 
743 	* tau Dra                	V* 	288.88774452 +73.35546580  	 7.15 	 5.70 	 4.45 	 3.55 	 2.97 	K2III:                
744 	* 48 Cas A               	*  	030.489321 +70.907064      	     ~	 4.751	 4.630	     ~	     ~	A2V                   
745 	* chi Dra                	SB*	275.26409395 +72.73284772  	 4.010	 4.070	 3.580	 3.14 	 2.83 	F7V                   
746 	* 78 Peg                 	** 	355.99785668 +29.36145394  	     ~	 5.860	 4.941	     ~	     ~	K0III                 
747 	* 20 Pup                 	*  	123.33319811 -15.78822279  	 6.84 	 6.06 	 4.99 	     ~	     ~	G5Ib/II               
748 	* 30 Mon                 	PM*	126.41513338 -03.90642162  	 3.85 	 3.88 	 3.90 	 3.87 	 3.92 	A0Va                  
749 	* lam Boo                	dS*	214.09591165 +46.08830570  	 4.31 	 4.26 	 4.18 	 4.16 	 4.13 	A3Va                  
750 	* c Leo                  	*  	165.18667257 +06.10144702  	     ~	 5.143	 4.996	     ~	 4.80 	A5III                 
751 	V* CS Cam                	Pu*	052.26721649 +59.94033249  	 4.40 	 4.63 	 4.22 	 3.84 	 3.46 	B9Ia                  
752 	* phi01 Cet              	V* 	011.04750052 -10.60955046  	     ~	 5.782	 4.775	     ~	     ~	K0III                 
753 	* 111 Her                	*  	281.75530819 +18.18151841  	 4.56 	 4.49 	 4.36 	 4.19 	 4.13 	A5III                 
754 	* gam Sge                	V* 	299.68928594 +19.49214669  	 6.97 	 5.04 	 3.47 	 2.27 	 1.35 	M0III                 
755 	* ome Sgr                	PM*	298.95983829 -26.29953374  	     ~	 5.45 	 4.70 	     ~	     ~	G5IV                  
756 	* tet Crt                	*  	174.17047231 -09.80224756  	     ~	 4.626	 4.682	     ~	     ~	B9.5V                 
757 	* eps Hya                	BY*	131.69380097 +06.41880152  	 4.43 	 4.06 	 3.38 	 2.78 	 2.39 	G1III+A8V             
758 	* bet Sco                	** 	241.35929 -19.80539        	 2.00 	 2.43 	 2.50 	     ~	     ~	B1V+B2V               
759 	* alf Aqr                	*  	331.445983 -00.319850      	 4.65 	 3.90 	 2.94 	 2.27 	 1.76 	G2Ib                  
760 	* eta Gem                	SB*	093.71940480 +22.50679434  	 6.55 	 4.89 	 3.28 	 1.79 	 0.48 	M2IIIa                
761 	* f01 Ori                	Em*	093.01366479 +16.13040596  	 4.21 	 4.80 	 4.92 	 4.94 	 5.08 	B5Vn                  
762 	* kap CMa                	Be*	102.46024719 -32.50847846  	 2.73 	 3.68 	 3.89 	 3.91 	 4.05 	B1.5Ve                
763 	* phi Oph                	*  	247.78486384 -16.61273073  	 5.90 	 5.19 	 4.27 	 3.62 	 3.18 	G8/K0III              
764 	M 31                     	G  	010.684708 +41.268750      	 4.86 	 4.36 	 3.44 	     ~	     ~	~                     
765 	* ome Psc                	*  	359.82787765 +06.86332117  	     ~	 4.410	 4.036	 3.8  	 3.6  	F4V                   
766 	* eps Boo A              	PM*	221.246762 +27.074208      	     ~	 3.61 	 2.45 	     ~	     ~	K0-II/III             
767 	* rho Her A              	** 	260.920717 +37.145925      	     ~	 4.476	 4.510	     ~	     ~	B9.5III               
768 	* omi01 CMa              	s*r	103.53313490 -24.18421104  	 7.59 	 5.60 	 3.87 	 2.70 	 1.88 	K2Iab                 
769 	CCDM J18448+3736AD       	** 	281.1971 +37.5997          	     ~	 4.27 	 4.12 	     ~	     ~	Am+F0                 
770 	* tet CrB A              	*  	233.232425 +31.359131      	     ~	 4.033	 4.164	     ~	     ~	~                     
771 	* lam Oph                	** 	247.72842975 +01.98392248  	     ~	 3.94 	 3.90 	     ~	     ~	A1IV                  
772 	* gam Lib                	** 	233.88157836 -14.78953551  	 5.67 	 4.93 	 3.91 	 3.20 	 2.65 	K0III                 
773 	* 3 Mon                  	** 	090.46009337 -10.59793237  	 4.24 	 4.82 	 4.94 	     ~	     ~	B5III/V               
774 	* c Tau                  	*  	069.53942899 +12.51083582  	 4.52 	 4.39 	 4.27 	 4.13 	 4.08 	A6V                   
775 	* eta Cap                	** 	316.10125551 -19.85499196  	 5.07 	 5.02 	 4.84 	 4.68 	 4.61 	A5V                   
776 	* zet Ori B              	*  	085.189879 -01.943219      	     ~	 3.50 	 3.70 	     ~	     ~	B0III                 
777 	* psi Hya                	*  	197.26362608 -23.11806948  	     ~	 5.984	 4.944	     ~	     ~	K0III                 
778 	HR 7633                  	*  	298.98074192 +58.84596762  	 8.47 	 6.51 	 4.96 	 3.56 	 2.92 	K4.5IIIa              
779 	HD 84117                 	PM*	145.56006886 -23.91556957  	     ~	 5.47 	 4.94 	     ~	     ~	F8V                   
780 	NAME SDG                 	G  	283.7629 -30.4783          	     ~	 4.5  	 3.6  	     ~	     ~	~                     
781 	* gam Crv                	V* 	183.95154504 -17.54193046  	 2.12 	 2.47 	 2.58 	 2.62 	 2.71 	B8III                 
782 	* h UMa                  	V* 	142.88211972 +63.06186148  	 4.10 	 4.00 	 3.67 	 3.33 	 3.15 	F0IV                  
783 	* N Sco                  	V* 	247.84555417 -34.70436517  	 3.30 	 4.06 	 4.23 	 4.29 	 4.41 	B2III-IV              
784 	* del Ori A              	** 	083.001658 -00.299081      	     ~	     ~	 2.41 	     ~	     ~	O9.5II+B1V+B0IV       
785 	* del Cnc                	** 	131.17124671 +18.15430650  	 6.01 	 5.02 	 3.94 	 3.16 	 2.62 	K0III                 
786 	* 10 Tau                 	PM*	054.21826346 +00.40166192  	 5.23 	 5.15 	 4.30 	 4.09 	 3.77 	F9IV-V                
787 	* 9 Aur                  	gD*	076.66929028 +51.59772291  	     ~	 5.280	 4.980	 4.8  	 4.7  	F2V                   
788 	* phi Vir A              	PM*	217.050575 -02.227953      	     ~	 5.522	 4.840	     ~	     ~	G2IV                  
789 	* rho Gem                	** 	112.27799529 +31.78454925  	 4.48 	 4.50 	 4.18 	 3.86 	 3.67 	F1V                   
790 	* D Hya                  	*  	131.59390494 -13.54772148  	 5.86 	 5.22 	 4.32 	 3.64 	 3.18 	G8III                 
791 	* alf Lib                	** 	222.7200 -16.0417          	     ~	     ~	 2.8  	     ~	     ~	~                     
792 	* del And                	SB*	009.83197992 +30.86102175  	 6.04 	 4.56 	 3.28 	 2.36 	 1.70 	K3III                 
793 	* nu. Her                	sr*	269.62562122 +30.18927417  	 4.95 	 4.80 	 4.41 	 4.01 	 3.78 	F2II                  
794 	* 30 LMi                 	*  	156.47839728 +33.79611971  	     ~	 4.972	 4.730	     ~	     ~	F0V                   
795 	NGC 2362                 	OpC	109.6708 -24.9550          	     ~	     ~	 4.1  	     ~	     ~	~                     
796 	* lam Tau                	Al*	060.17006549 +12.49034054  	 2.66 	 3.29 	 3.41 	 3.44 	 3.53 	B3V+...               
797 	* eta Tau                	Be*	056.87115231 +24.10513565  	 2.44 	 2.78 	 2.87 	 2.84 	 2.88 	B7III                 
798 	* 6 Lac                  	SB*	337.62191686 +43.12337679  	 3.68 	 4.421	 4.518	     ~	     ~	B2IV                  
799 	* 15 Mon                 	Be*	100.24441512 +09.89575637  	 3.360	 4.400	 4.640	     ~	 4.88 	O7V+B1.5/2V           
800 	* eta Peg                	SB*	340.75057261 +30.22124505  	 4.38 	 3.81 	 2.95 	 2.31 	 1.83 	G8II+F0V              
801 	* eta Cas A              	*  	012.271438 +57.816500      	     ~	 4.14 	 3.52 	     ~	     ~	GOV                   
802 	* eta Per                	*  	042.67420662 +55.89549655  	 7.38 	 5.48 	 3.79 	 2.56 	 1.67 	K3-Ib-IIa             
803 	* gam02 Del              	*  	311.66459755 +16.12428898  	     ~	 5.31 	 4.27 	 4.1  	     ~	K1IV                  
804 	* 31 Lyn                 	sr*	125.70879166 +43.18813123  	 7.71 	 5.80 	 4.25 	 3.05 	 2.17 	K4+III                
805 	* 52 Her A               	*  	252.309242 +45.983314      	     ~	 4.907	 4.826	     ~	     ~	~                     
806 	* alf For                	** 	048.01886400 -28.98762045  	 4.41 	 4.36 	 3.85 	 3.39 	 3.08 	F6V+G7V               
807 	* bet CrB                	a2*	231.95721470 +29.10570066  	 4.08 	 3.97 	 3.68 	 3.50 	 3.45 	F2VpSrCrEuSi          
808 	* 61 Cyg                 	** 	316.7275 +38.7458          	     ~	 6.10 	 4.84 	     ~	     ~	K5V+K7V               
809 	* bet02 Sco              	SB*	241.36071368 -19.80190433  	 4.19 	 4.87 	 4.89 	 5.58 	     ~	B2V                   
810 	* bet Oph                	V* 	265.86813603 +04.56730431  	 5.150	 3.930	 2.750	 1.96 	 1.38 	K2III                 
811 	* tau Cet                	PM*	026.01701409 -15.93747951  	 4.43 	 4.22 	 3.50 	 2.88 	 2.41 	G8.5V                 
812 	* 113 Her                	SB*	283.686967 +22.645028      	 5.88 	 5.38 	 4.60 	 3.96 	 3.50 	G4III+...             
813 	* ksi Oph                	** 	260.25156334 -21.11293508  	     ~	 4.78 	 4.39 	     ~	     ~	F2V                   
814 	* l Aql                  	SB*	309.58450859 -01.10511976  	 5.98 	 5.29 	 4.33 	 3.66 	 3.20 	G8II/III              
815 	* omi Tau                	SB*	051.20332482 +09.02887470  	 5.090	 4.490	 3.600	 2.92 	 2.47 	G6III                 
816 	* zet Cas                	Pu*	009.24285078 +53.89690758  	 2.58 	 3.47 	 3.66 	 3.74 	 3.95 	B2IV                  
817 	* chi Cet                	*  	027.39626317 -10.68640761  	 5.04 	 5.00 	 4.68 	 4.38 	 4.22 	F0V                   
818 	* 25 CVn                 	** 	204.36511590 +36.29489825  	     ~	 5.05 	 4.82 	     ~	     ~	A7III+A8V:            
819 	* sig02 UMa              	** 	137.59810823 +67.13401784  	     ~	 5.29 	 4.80 	 4.8  	     ~	F7V                   
820 	* rho Ori A              	SB*	078.322837 +02.861256      	     ~	 5.72 	 4.48 	     ~	     ~	~                     
821 	* omi Col                	PM*	079.37120539 -34.89520677  	 6.62 	 5.83 	 4.83 	 4.09 	 3.54 	K1IV                  
822 	* omi Gem                	*  	114.79138690 +34.58434563  	 5.41 	 5.30 	 4.90 	 4.51 	 4.29 	F3III                 
823 	* del UMa                	V* 	183.85650264 +57.03261544  	 3.460	 3.410	 3.320	 3.25 	 3.25 	A2Vn                  
824 	* 75 Tau                 	** 	067.10987515 +16.35967308  	     ~	 6.115	 4.971	     ~	     ~	K2III                 
825 	CCDM J16001-3824AB       	** 	240.03108 -38.39686        	     ~	 7.8  	 3.6  	     ~	     ~	B3                    
826 	* 35 Com                 	** 	193.32394594 +21.24494701  	     ~	 5.80 	 4.91 	     ~	     ~	G5III                 
827 	* eta Sgr                	LP?	274.40681272 -36.76168520  	 6.37 	 4.67 	 3.11 	 1.55 	 0.23 	M2III                 
828 	* eta Dra                	V* 	245.99785807 +61.51421387  	 4.35 	 3.65 	 2.74 	 2.12 	 1.66 	G8III-IV              
829 	* rho01 Sgr              	dS*	290.41816424 -17.84719912  	 4.29 	 4.15 	 3.93 	 3.74 	 3.64 	A9IV                  
830 	* tet Pyx                	*  	140.37329522 -25.96543897  	 8.36 	 6.33 	 4.72 	 3.32 	 2.24 	M0III                 
831 	* iot Vir                	V* 	214.00362294 -06.00054537  	 4.64 	 4.60 	 4.08 	     ~	     ~	F7III                 
832 	* 36 UMa                 	PM*	157.65658364 +55.98053678  	     ~	 5.319	 4.831	 4.5  	 4.3  	F8V                   
833 	* j Pup                  	*  	119.21474582 -22.88012055  	     ~	 4.890	 4.204	     ~	     ~	F7/8II                
834 	* nu. Cap                	*  	305.16589842 -12.75907901  	 4.61 	 4.72 	 4.76 	 4.75 	 4.81 	B9IV                  
835 	* zet Her A              	*  	250.322771 +31.601936      	     ~	 3.522	 2.879	     ~	     ~	~                     
836 	* del Aql                	** 	291.37458914 +03.11477947  	 3.72 	 3.68 	 3.36 	 3.11 	 2.95 	F1IV-V(n)             
837 	* iot Cen                	PM*	200.14923904 -36.71229019  	 2.77 	 2.76 	 2.73 	 2.68 	 2.69 	kA15hA3mA3va          
838 	* l Eri                  	** 	069.54510358 -14.30401665  	 5.99 	 4.96 	 3.87 	 3.03 	 2.47 	K1III                 
839 	* psi Cyg                	** 	298.90744260 +52.43894767  	     ~	 5.04 	 4.92 	     ~	     ~	A4Vn                  
840 	* phi Cas                	s*y	020.02048760 +58.23161232  	 6.15 	 5.66 	 4.98 	 4.34 	 3.78 	F0Ia                  
841 	* nu. Ori                	SB*	091.89302448 +14.76847392  	 3.6  	 4.250	 4.403	     ~	     ~	B3V                   
842 	CCDM J15576+2652A        	*i*	239.39688112 +26.87787875  	 6.650	 5.360	 4.130	     ~	     ~	K2III                 
843 	HR 4162                  	V* 	159.30718350 -27.41263469  	 8.46 	 6.51 	 4.89 	     ~	     ~	M1III                 
844 	* kap Cap                	*  	325.66461291 -18.86632413  	     ~	 5.604	 4.738	     ~	     ~	G8III                 
845 	* omi02 Cyg              	Al*	303.86801203 +47.71421137  	 6.54 	 5.50 	 3.98 	 2.78 	 1.86 	K3Ib+                 
846 	* gam PsA                	** 	343.13139638 -32.87550164  	 4.28 	 4.464	 4.501	     ~	     ~	~                     
847 	* gam Cap                	a2*	325.02273533 -16.66230756  	 4.19 	 3.98 	 3.67 	 3.47 	 3.34 	kF0hF1VmF2            
848 	* c Pup                  	*  	116.31373506 -37.96858328  	 7.06 	 5.34 	 3.61 	 2.26 	 1.26 	K4III                 
849 	* ome Cap                	V* 	312.95537849 -26.91912706  	 7.66 	 5.75 	 4.12 	 2.87 	 1.93 	K4III                 
850 	* sig And                	** 	004.58190606 +36.78522519  	 4.64 	 4.57 	 4.52 	 4.44 	 4.44 	A2V                   
851 	* zet01 UMa              	SB*	200.981429 +54.925361      	 2.11 	 2.29 	 2.23 	 2.10 	 2.12 	A1.5Vas               
852 	* 45 Eri                 	*  	067.969446 -00.044011      	     ~	 6.262	 4.908	     ~	     ~	K0/1III               
853 	* mu. Vir                	PM*	220.76509509 -05.65820353  	 4.25 	 4.26 	 3.88 	 3.48 	 3.26 	F2V                   
854 	[SC96] GC 236            	UV 	268.4250 -34.7500          	     ~	     ~	 4.89 	     ~	     ~	Snnev...              
855 	* bet PsA                	PM*	337.87637660 -32.34607371  	 4.32 	 4.30 	 4.29 	 4.27 	 4.25 	A1Va                  
856 	* i Cen                  	SB*	206.42185343 -33.04372215  	 4.61 	 4.61 	 4.23 	 3.90 	 3.69 	F2V                   
857 	* zet02 UMa              	SB*	200.984708 +54.921822      	     ~	 4.05 	 3.88 	     ~	     ~	kA1h(eA)mA7IV-V       
858 	* h01 Pup                	LP*	122.83955663 -39.61854469  	 7.79 	 6.03 	 4.42 	 3.22 	 2.34 	K4.5Ib                
859 	M 25                     	OpC	277.9458 -19.1167          	     ~	 5.29 	 4.6  	     ~	     ~	~                     
860 	* rho Leo                	s*b	158.20279865 +09.30658596  	 2.780	 3.720	 3.870	 3.90 	 4.06 	B1Iab                 
861 	* eta Ser                	V* 	275.32750232 -02.89882682  	 4.84 	 4.19 	 3.25 	 2.55 	 2.05 	K0III-IV              
862 	* eta Psc                	** 	022.87087607 +15.34582459  	 5.320	 4.600	 3.620	 2.90 	 2.40 	G7IIa                 
863 	* 24 Lyn                 	PM*	115.75173128 +58.71035973  	     ~	 5.040	 4.958	     ~	     ~	A3IVn                 
