C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
218 ;* 11 Per                           ;040.7618251056400 +55.1060183877400; 34.979 -21.712     ;7.7748    ;-0.70       ;5.753    
219 ;* eta Per                          ;042.6742066267 +55.8954965489      ;   16.23 -13.54     ;3.71      ;-1.784      ;3.79     
220 ;* gam Per                          ;046.1991280875 +53.5064357569      ;     0.51 -5.92     ;13.41     ;3.13        ;2.93     
221 ;HD 20123                           ;049.0508450445900 +50.9376681073300; -1.916 -18.315     ;4.1952    ;2.08        ;5.03     
222 ;* alf Per                          ;051.0807087183 +49.8611792931      ;   23.75 -26.23     ;6.44      ;-2.158      ;1.79     
223 ;HD 21362                           ;052.2180329655000 +49.8483855630000; 22.628 -25.221     ;5.786     ;-3.30       ;5.572    
224 ;* 34 Per                           ;052.34187580 +49.50894762          ;   22.20 -29.49     ;6.05      ;-3.50       ;4.735    
225 ;HD 21278                           ;052.0127948342800 +49.0628682788600; 22.754 -25.649     ;5.6775    ;1.20        ;4.97     
226 ;* psi Per                          ;054.1224159279 +48.1926330392      ;   22.55 -27.78     ;5.59      ;-1.1        ;4.23     
227 ;* del Per                          ;055.7312677338 +47.7875485092      ;   25.58 -43.06     ;6.32      ;4.00        ;3.01     
228 ;* 14 Cyg                           ;294.8603859220500 +42.8182614066900;  17.080 33.091     ;6.1689    ;-27.5       ;5.40     
229 ;HD 188209                          ;297.9961198494500 +47.0273386330400;  -3.559 -4.001     ;0.5038    ;-8.00       ;5.63     
230 ;* del Cyg                          ;296.2436605888 +45.1308100183      ;    44.07 48.66     ;19.77     ;-23.60      ;2.87     
231 ;HD 186155                          ;295.2091005163 +45.5249408692      ;   84.85 119.92     ;20.15     ;-21.90      ;5.056    
232 ;HD 188252                          ;298.0298593487400 +47.9317949462000;  -5.867 -9.506     ;1.1158    ;-18.3       ;5.897    
233 ;* e Cyg                            ;300.3398474439200 +50.1046932813000;   16.400 5.490     ;7.209     ;-0.25       ;5.048    
234 ;V* V414 Cep                        ;311.0918821232900 +56.4884051968200;   9.855 -1.532     ;3.1937    ;-29.39      ;5.95     
235 ;HD 200205                          ;314.8557695732900 +59.4386001520500;  46.609 10.897     ;4.7995    ;-14.98      ;5.526    
236 ;HD 200614                          ;315.53752476 +56.66961381          ;      8.92 1.13     ;3.54      ;-20.60      ;5.83     
237 ;HD 203338                          ;319.8153550619700 +58.6235067384600;  -1.893 -4.751     ;0.5546    ;-12.73      ;5.75     
238 ;* nu. Cep                          ;326.3621865783 +61.1208055269      ;    -3.74 -2.10     ;0.48      ;-25.90      ;4.29     
239 ;HD 205139                          ;322.7470485378100 +60.4594318222800;  -1.797 -3.745     ;1.1477    ;-14.5       ;5.522    
240 ;* 12 Cep                           ;326.8553972324200 +60.6926887364900;  -9.940 -2.300     ;7.8978    ;-21.03      ;5.514    
241 ;* 9 Cep                            ;324.4801005810100 +62.0819417713300;  -2.007 -4.293     ;1.0251    ;-13.50      ;4.73     
242 ;HD 209112                          ;329.7230135167500 +62.6979881547400;  11.600 14.790     ;2.8388    ;-18.68      ;5.979    
243 ;HD 207198                          ;326.2219964123499 +62.4605690686800;  -3.576 -1.394     ;0.9978    ;-17.60      ;5.94     
244 ;* 19 Cep                           ;331.2866239721200 +62.2798146027600;  -1.595 -3.026     ;1.0221    ;-12.30      ;5.11     
245 ;V* VV Cep                          ;329.1630993729 +63.6255603997      ;    -0.25 -2.56     ;1.33      ;-18.7       ;4.90     
246 ;HD 211029                          ;333.0935377525600 +63.2910349541000;  3.015 -15.443     ;3.9665    ;-15.27      ;5.778    
247 ;* 25 Cep                           ;334.5526993843799 +62.8043900379400;  41.430 10.791     ;5.1573    ;-4.62       ;5.741    
248 ;* 18 Cep                           ;330.9707376844300 +63.1199208487300;  37.041 58.292     ;7.5328    ;-5.30       ;5.300    
249 ;* 20 Cep                           ;331.2520784900299 +62.7856711975100;  14.416 58.123     ;10.6734   ;-23.49      ;5.265    
250 ;* ksi Cep                          ;330.94772911 +64.62797577          ;   215.46 91.06     ;33.79     ;-10.74      ;4.29     
251 ;* 26 Cep                           ;336.7721269584100 +65.1322667631100;  -0.587 -3.079     ;0.9686    ;-12.70      ;5.515    
252 ;* 30 Cep                           ;339.6627156619500 +63.5844713744100;  0.196 -19.295     ;10.6477   ;10.40       ;5.188    
253 ;* iot Cep                          ;342.4200705979 +66.2004065600      ; -65.89 -125.17     ;28.29     ;-12.763     ;3.54     
254 ;HD 223128                          ;356.6530690166400 +66.7822448126300;   8.009 -2.936     ;2.5336    ;-9.70       ;5.937    
255 ;HD 225216                          ;001.1749220868800 +67.1664451210700;  95.556 23.570     ;10.3544   ;-28.77      ;5.676    
256 ;HD 225009                          ;000.6503860572200 +66.0989633453600;   7.262 -0.137     ;4.0626    ;-16.81      ;5.842    
257 ;HD 3856                            ;010.5142525816300 +66.1475933140800; -10.575 -8.026     ;5.9843    ;-3.89       ;5.821    
258 ;HD 4775                            ;012.6816572714200 +64.2475693184000; 36.838 -14.652     ;4.1492    ;-2.38       ;5.362    
259 ;HD 5550                            ;014.6294249534700 +66.3517937811100; 44.139 -12.957     ;9.1239    ;-10.3       ;5.97     
260 ;* 32 Cas                           ;017.9225100626400 +65.0188538305700; 23.217 -12.524     ;8.0823    ;3.10        ;5.564    
261 ;HD 6960                            ;017.8565461259700 +64.2026778751500; 40.497 -18.995     ;8.0202    ;-9.9        ;5.548    
262 ;HD 10780                           ;026.9368101491825 +63.8525030561092;581.684 -246.462    ;99.5902   ;2.840       ;5.63     
263 ;* eps Cas                          ;028.5988920257000 +63.6701000663300; 29.587 -18.387     ;7.0037    ;-8.30       ;3.37     
264 ;HD 20041                           ;048.9498770850400 +57.1406231832100;  -1.692 -0.996     ;1.0637    ;-11.9       ;5.79     
265 ;* k Per                            ;046.3850479466800 +56.7057188123200; -12.960 69.781     ;15.1897   ;-45.65      ;4.766    
266 ;HD 21447                           ;052.5007617375700 +55.4518072414600;-45.895 -12.056     ;16.7393   ;-1.90       ;5.090    
267 ;HD 21819                           ;053.4127499910400 +54.9748602860800; -41.053 -0.357     ;13.1723   ;-6.50       ;5.969    
268 ;HD 24240                           ;058.4112387831600 +48.6504968435200; 37.744 -31.994     ;7.7667    ;8.0         ;5.76     
269 ;HD 24504                           ;058.9923909916800 +47.8714230597300; 17.695 -21.558     ;4.6094    ;5.00        ;5.379    
270 ;* c Per                            ;062.1653839908 +47.7125119269      ;   21.73 -33.61     ;6.84      ;0.8         ;4.03     
271 ;HD 185351                          ;294.1582368607200 +44.6949337673200;-95.016 -104.858    ;24.261    ;-6.63       ;5.169    
272 ;HD 182694                          ;290.9854187399400 +43.3881687182500; 14.981 -28.169     ;7.4235    ;-1.47       ;5.853    
273 ;* psi Cyg                          ;298.9074524163700 +52.4389390157600;-37.044 -27.970     ;11.5546   ;-10.00      ;5.02     
274 ;* 33 Cyg                           ;303.3494442246 +56.5677222014      ;    61.82 82.18     ;20.48     ;-18.00      ;4.271    
275 ;HD 195554                          ;307.3629618655100 +56.0681917205700;    4.959 5.265     ;3.2714    ;-22.3       ;5.912    
276 ;HD 193592                          ;304.60312795 +55.39709695          ;   -7.21 -30.31     ;11.05     ;-2.50       ;5.76     
277 ;* alf Cep                          ;319.64488470 +62.58557446          ;   150.55 49.09     ;66.50     ;-15.80      ;2.460    
278 ;* 6 Cep                            ;319.8425843600 +64.8718561431      ;      5.20 5.69     ;1.64      ;-16.50      ;5.18     
279 ;HD 208682                          ;328.87916566 +65.32080950          ;     6.30 -1.07     ;3.18      ;-14.5       ;5.86     
280 ;HD 218029                          ;345.8870103718900 +67.2092106642900;  22.473 10.269     ;8.138     ;-8.71       ;5.230    
281 ;HD 223274                          ;356.9782119798700 +67.8068090314800;  15.213 -1.585     ;10.4629   ;10.60       ;5.044    
282 ;* 31 Cas                           ;017.6638433603100 +68.7786226794900; 35.202 -26.792     ;10.6799   ;4.70        ;5.309    
283 ;* psi Cas                          ;021.4834265888 +68.1300127772      ;    75.50 26.93     ;16.72     ;-12.83      ;4.727    
284 ;* 43 Cas                           ;025.5855289300300 +68.0430251359100;  53.076 -9.030     ;7.696     ;5.1         ;5.59     
285 ;HD 11946                           ;029.9084902471100 +64.6216000374800; 35.225 -16.057     ;12.6852   ;4.00        ;5.278    
286 ;* 53 Cas                           ;030.7507817156500 +64.3900180185900;  -0.881 -2.204     ;1.077     ;-24.30      ;5.614    
287 ;* 52 Cas                           ;030.7186495829800 +64.9014640117400;-13.287 -12.328     ;12.0776   ;-26.60      ;5.986    
288 ;HD 17948                           ;043.9871701705700 +61.5211373634100; 145.364 31.063     ;37.3809   ;28.917      ;5.584    
289 ;C 0255+602                         ;044.8250 +60.4000                  ;      2.70 3.17     ;      ~   ;-6.75       ;5.9      
290 ;HD 21389                           ;052.4780983503800 +58.8787491334400;  -2.247 -0.657     ;0.9303    ;-6.20       ;4.54     
291 ;* lam Per                          ;061.6460149808 +50.3512638775      ;  -12.75 -35.60     ;7.73      ;6.1         ;4.29     
292 ;* mu. Per                          ;063.7244271987 +48.4093308800      ;    5.52 -17.37     ;3.62      ;26.46       ;4.16     
293 ;* d Per                            ;065.3881926825000 +46.4988791227600; 21.659 -35.177     ;6.8802    ;7.30        ;4.812    
294 ;HD 184293                          ;292.8305448814200 +50.3067051070600; -31.465 45.906     ;7.1043    ;-10.07      ;5.540    
295 ;* tet Cyg                          ;294.1105598179 +50.2211012703      ;   -8.87 262.45     ;54.54     ;-27.581     ;4.48     
296 ;V* V1743 Cyg                       ;293.4233585284700 +49.2623187540300;  2.405 -11.843     ;2.7414    ;-11.32      ;5.96     
297 ;* 16 Cyg A                         ;295.4539729150700 +50.5250609824400;-148.034 -159.030   ;47.3239   ;-27.61      ;5.95     
298 ;* d Cyg                            ;297.6571813696754 +52.9879973181400;-10.838 -69.524     ;16.2339   ;-22.04      ;5.03     
299 ;HD 192781                          ;303.3650678660200 +60.6405695219900;  39.545 55.987     ;5.3815    ;-3.91       ;5.780    
300 ;* tet Cep                          ;307.3954386101400 +62.9941103348500; 34.798 -13.904     ;23.481    ;-6.8        ;4.22     
301 ;* eta Cep                          ;311.3223981417 +61.8387824269      ;   86.50 818.02     ;70.10     ;-87.407     ;3.410    
302 ;* 7 Cep                            ;321.9422575919600 +66.8090969828900;-11.446 -20.346     ;4.3485    ;3.00        ;5.410    
303 ;HD 210884                          ;332.6616226821000 +70.1325746843900; -65.841 25.104     ;30.6881   ;-0.259      ;5.52     
304 ;HD 213022                          ;336.5034311249700 +70.7709034064400;   18.830 4.860     ;6.6807    ;-15.96      ;5.469    
305 ;HD 220974                          ;351.8192892403700 +70.3597825281600; 121.681 -4.419     ;15.3891   ;3.00        ;5.600    
306 ;V* V388 Cep                        ;348.9072471475900 +70.8880817921200;  17.670 -1.575     ;8.7121    ;-5.00       ;5.550    
307 ;HD 221861                          ;353.7460116312100 +71.6420441677300;   4.886 -0.659     ;1.8264    ;-2.8        ;5.84     
308 ;HD 4440                            ;012.0379280061800 +72.6744966732400; 142.215 11.171     ;15.2384   ;1.46        ;5.855    
309 ;HD 7389                            ;019.0495913235200 +71.7438403556900;   -1.658 1.791     ;1.3148    ;-17.0       ;5.86     
310 ;* 42 Cas                           ;025.7327636534000 +70.6225255840500; 76.295 -14.091     ;11.1166   ;6.60        ;5.174    
311 ;* ome Cas                          ;029.0001179194500 +68.6852399760700; 15.067 -10.313     ;4.4802    ;-23.8       ;4.968    
312 ;HD 16769                           ;041.2070709694400 +67.8246312016300; 17.426 -32.013     ;7.7928    ;5.2         ;5.945    
313 ;HD 16024                           ;039.4002877984200 +65.7453359713200;  43.406 -8.797     ;4.4786    ;42.03       ;5.781    
314 ;HD 19065                           ;046.8290771356800 +64.0576327853000;  -4.704 -0.715     ;5.747     ;-2.50       ;5.877    
315 ;HD 21291                           ;052.2672203734000 +59.9403336568300;  -2.751 -1.066     ;1.0527    ;-5.10       ;4.22     
316 ;HD 22764                           ;055.6780708040500 +59.9693896942800;   -2.124 2.342     ;1.8433    ;-9.79       ;5.78     
317 ;HD 24141                           ;058.4303593730800 +57.9751461935800; 86.826 -91.295     ;18.5633   ;-0.20       ;5.786    
318 ;HD 26764                           ;064.1795487925700 +53.6118002165500; -17.700 -0.218     ;12.2443   ;-3.00       ;5.187    
319 ;* b02 Per                          ;065.0479690642600 +50.9209347287000;   0.044 -6.166     ;2.1654    ;-17.80      ;5.545    
320 ;HD 27084                           ;064.8050553934400 +50.0487083882700; 61.124 -58.952     ;12.5943   ;-16.5       ;5.40     
321 ;* b Per                            ;064.5609037442 +50.2955015944      ;   45.42 -56.72     ;10.40     ;19.8        ;4.594    
322 ;* 59 Per                           ;070.7264017916500 +43.3651202112000; 33.242 -47.640     ;14.0923   ;13.20       ;5.298    
323 ;BD+49 2959                         ;288.02093752 +49.85575009          ; -210.20 621.79     ;40.90     ;-41.90      ;5.85     
324 ;* iot01 Cyg                        ;291.8581637619100 +52.3204382687700;-12.096 -26.956     ;8.788     ;1.9         ;5.75     
325 ;* iot Cyg                          ;292.4264946683 +51.7297793972      ;   20.59 128.33     ;26.88     ;-19.5       ;3.755    
326 ;* 23 Cyg                           ;298.3224089945100 +57.5234741390100;    6.036 9.787     ;5.3644    ;-31.60      ;5.132    
327 ;HD 189276                          ;298.9807445462999 +58.8459686298000; -8.725 -20.993     ;3.668     ;4.26        ;4.96     
328 ;* 71 Dra                           ;304.9030300298200 +62.2574437656700;  13.238 19.745     ;7.8837    ;-19.4       ;5.709    
329 ;* 66 Dra                           ;301.3869914691500 +61.9954203033200; 123.312 70.696     ;18.5114   ;4.46        ;5.408    
330 ;* 68 Dra                           ;302.8952992440100 +62.0785477086900; 142.267 72.842     ;20.9232   ;-14.63      ;5.700    
331 ;HD 194298                          ;305.2980176701400 +63.9801173939000;   5.080 14.404     ;3.6674    ;26.35       ;5.69     
332 ;* 4 Cep                            ;310.7959214136700 +66.6574473201200;  25.393 34.362     ;23.1824   ;-11.00      ;5.600    
333 ;* bet Cep                          ;322.1649868804 +70.5607151892      ;     12.54 8.39     ;4.76      ;-8.2        ;3.23     
334 ;* 78 Dra                           ;325.7668470245900 +72.3200855358700;-43.513 -39.985     ;13.1461   ;-40.585     ;5.173    
335 ;* 24 Cep                           ;332.4517944276000 +72.3412054806800;   33.041 2.809     ;8.2802    ;-16.239     ;4.786    
336 ;* pi. Cep                          ;346.97439069 +75.38749863          ;    6.81 -34.06     ;13.22     ;-18.6       ;4.41     
337 ;* pi. Cep A                        ;346.9744639009500 +75.3875108575900;  2.463 -33.829     ;12.1458   ;-26.94      ;4.61     
338 ;HD 219485                          ;348.6546044986099 +74.2312715495500;   41.271 7.009     ;7.3176    ;-2.8        ;5.890    
339 ;HD 222386                          ;354.7923930298700 +75.2928815583800;   6.613 13.895     ;11.7781   ;1.40        ;5.946    
340 ;HD 222387                          ;354.8380723679900 +74.0026775573800;-10.247 -10.766     ;10.0525   ;11.90       ;5.973    
